Date,0,1,2,3,4,5,6,7,8,9,10,11,12,mean,median,weekday
2020-04-27,0.043,0.014,0.04,0.045,0.042,0.063,0.459,0.047,0.015,0.054,0.071,0.067,0.084,0.08,0.051,0
2020-04-28,0.07,0.043,0.024,0.028,0.063,0.066,0.113,0.122,0.053,0.03,0.035,0.095,0.112,0.066,0.064,1
2020-04-29,0.079,0.02,0.019,0.035,0.059,0.1,0.159,0.136,0.025,0.022,0.045,0.073,0.136,0.07,0.065,2
2020-04-30,0.114,0.07,0.036,0.017,0.03,0.117,0.127,0.199,0.131,0.042,0.019,0.038,0.155,0.084,0.077,3
2020-05-01,0.073,0.063,0.051,0.054,0.031,0.051,0.278,0.128,0.115,0.086,0.062,0.034,0.063,0.084,0.063,4
2020-05-02,0.036,0.032,0.014,0.041,0.009,0.174,0.325,0.048,0.056,0.026,0.071,0.008,0.195,0.08,0.045,5
2020-05-03,0.158,0.032,0.026,0.007,0.029,0.048,0.298,0.179,0.043,0.044,0.011,0.045,0.045,0.074,0.045,6
2020-05-04,0.041,0.014,0.041,0.046,0.042,0.063,0.457,0.047,0.015,0.055,0.073,0.07,0.087,0.081,0.051,0
2020-05-05,0.07,0.042,0.024,0.028,0.064,0.067,0.114,0.122,0.053,0.03,0.036,0.098,0.116,0.066,0.065,1
2020-05-06,0.079,0.021,0.019,0.034,0.06,0.1,0.156,0.136,0.026,0.023,0.044,0.074,0.136,0.07,0.065,2
2020-05-07,0.117,0.071,0.036,0.017,0.029,0.118,0.128,0.201,0.132,0.042,0.019,0.037,0.156,0.085,0.078,3
2020-05-08,0.072,0.062,0.052,0.055,0.031,0.05,0.273,0.128,0.115,0.087,0.063,0.034,0.06,0.083,0.063,4
2020-05-09,0.035,0.031,0.013,0.041,0.01,0.178,0.324,0.048,0.056,0.025,0.069,0.008,0.198,0.08,0.044,5
2020-05-10,0.165,0.032,0.025,0.007,0.029,0.045,0.307,0.186,0.043,0.043,0.011,0.043,0.044,0.075,0.043,6
2020-05-11,0.039,0.013,0.04,0.045,0.042,0.061,0.459,0.044,0.014,0.055,0.072,0.07,0.085,0.08,0.05,0
2020-05-12,0.07,0.04,0.023,0.027,0.062,0.066,0.111,0.119,0.05,0.029,0.035,0.096,0.115,0.065,0.063,1
2020-05-13,0.079,0.022,0.018,0.033,0.059,0.099,0.156,0.135,0.026,0.022,0.042,0.075,0.137,0.069,0.064,2
2020-05-14,0.116,0.071,0.037,0.017,0.029,0.115,0.126,0.196,0.131,0.042,0.019,0.036,0.157,0.084,0.077,3
2020-05-15,0.073,0.063,0.051,0.056,0.031,0.05,0.269,0.127,0.114,0.087,0.063,0.034,0.059,0.083,0.063,4
2020-05-16,0.035,0.031,0.013,0.04,0.01,0.181,0.325,0.049,0.056,0.025,0.07,0.009,0.195,0.08,0.044,5
2020-05-17,0.154,0.032,0.025,0.007,0.028,0.048,0.295,0.178,0.044,0.044,0.011,0.044,0.046,0.074,0.044,6
2020-05-18,0.038,0.013,0.041,0.045,0.043,0.062,0.445,0.045,0.015,0.056,0.074,0.073,0.089,0.08,0.051,0
2020-05-19,0.071,0.039,0.022,0.028,0.063,0.068,0.112,0.124,0.052,0.03,0.036,0.099,0.119,0.066,0.064,1
2020-05-20,0.08,0.022,0.018,0.032,0.06,0.1,0.156,0.135,0.027,0.022,0.043,0.078,0.139,0.07,0.065,2
2020-05-21,0.119,0.071,0.037,0.016,0.028,0.117,0.127,0.199,0.131,0.042,0.019,0.037,0.159,0.085,0.078,3
2020-05-22,0.073,0.064,0.052,0.056,0.031,0.048,0.263,0.126,0.114,0.087,0.065,0.035,0.059,0.082,0.064,4
2020-05-23,0.035,0.031,0.013,0.04,0.01,0.19,0.335,0.048,0.055,0.025,0.07,0.009,0.206,0.082,0.044,5
2020-05-24,0.162,0.032,0.025,0.007,0.029,0.046,0.305,0.187,0.044,0.044,0.011,0.045,0.045,0.076,0.044,6
2020-05-25,0.037,0.013,0.04,0.044,0.042,0.061,0.442,0.044,0.014,0.055,0.073,0.071,0.088,0.079,0.05,0
2020-05-26,0.076,0.039,0.022,0.028,0.06,0.064,0.107,0.13,0.052,0.029,0.036,0.097,0.113,0.066,0.062,1
2020-05-27,0.079,0.023,0.017,0.032,0.064,0.1,0.155,0.134,0.027,0.022,0.042,0.08,0.141,0.07,0.067,2
2020-05-28,0.119,0.07,0.038,0.016,0.029,0.119,0.126,0.195,0.13,0.043,0.019,0.036,0.16,0.085,0.078,3
