Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE2029,0.009693124237352593,0.00079492177245433
0.001,VaccinationFull,0.004388454856536225,0.000830901471614374
0.002,AGE2029,0.008368740112906977,0.000686310580661515
0.002,VaccinationFull,0.003417594715004222,0.0006470807085662623
0.003,AGE2029,0.007127921434870281,0.0005845524933114695
0.003,VaccinationFull,0.0032004582881054737,0.0006059685215780474
0.004,AGE2029,0.006138542494331454,0.0005034146845117634
0.004,VaccinationFull,0.002901591922793164,0.0005493817476742044
0.005,AGE2029,0.005915185070693154,0.00048509740364939796
0.005,VaccinationFull,0.0026665944718861244,0.0005048877892839379
0.006,AGE2029,0.005114118169636308,0.00041940284477964325
0.006,VaccinationFull,0.0024923083161619013,0.00047188878895069303
0.007,AGE2029,0.004615019673017068,0.00037847236128981055
0.007,VaccinationFull,0.0023693926329668236,0.00044861617355642475
0.008,AGE2029,0.0041988565042722,0.00034434330695931186
0.008,VaccinationFull,0.0023057720011162063,0.0004365703673768351
0.009,AGE2029,0.0038620278906438443,0.0003167203866291463
0.009,VaccinationFull,0.002224224769321755,0.000421130373775632
