FIPS,Median,MAD
12055,1.0,0.0
12057,1.0,0.0
12059,5.0,2.0
12061,1.0,0.0
12063,8.0,1.0
12065,2.0,0.0
12067,9.0,1.0
12069,1.0,0.0
12071,1.0,0.0
12073,1.0,0.0
12075,2.5,0.5
12077,2.0,0.0
12079,2.0,0.0
12081,1.0,0.0
12083,1.0,0.0
12085,1.0,0.0
12086,1.0,0.0
12087,4.0,0.0
12089,4.0,2.0
12091,1.0,0.0
12093,4.0,0.0
12095,1.0,0.0
12097,1.0,0.0
12099,1.0,0.0
12101,1.0,0.0
12103,1.0,0.0
12105,1.0,0.0
12107,4.0,1.0
12109,1.0,0.0
12111,1.0,0.0
12113,1.0,0.0
12115,1.0,0.0
12117,1.0,0.0
12119,2.0,1.0
12121,8.0,2.0
12123,7.0,0.0
12125,6.0,1.0
12127,1.0,0.0
12129,2.0,0.0
12131,2.0,1.0
12133,2.0,0.0
13001,7.0,1.0
13003,5.0,0.0
13005,5.0,0.0
13007,2.0,0.0
13009,4.0,0.0
13011,6.0,3.5
13013,2.0,0.0
13015,1.0,0.0
13017,4.0,0.0
13019,2.0,0.0
13021,1.0,0.0
13023,2.0,0.0
13025,2.0,0.0
13027,2.0,0.0
13029,2.0,0.0
13031,4.0,0.0
13033,2.0,0.0
13035,2.0,0.0
13037,2.0,0.0
13039,2.0,0.0
13043,10.0,0.0
13045,4.0,1.0
13047,1.0,0.0
13049,2.0,0.0
13051,1.0,0.0
13053,1.0,0.0
13055,4.0,1.0
13057,1.0,0.0
13059,1.0,0.0
13061,9.0,0.0
13063,1.0,0.0
13065,5.0,0.0
13067,1.0,0.0
13069,4.0,0.0
13071,4.0,0.0
13073,1.0,0.0
13075,2.0,0.0
13077,1.0,0.0
13079,2.0,0.0
13081,4.0,0.0
13083,2.0,0.0
13085,2.0,0.0
13087,4.0,1.0
13089,1.0,0.0
13091,7.0,1.5
13093,5.0,3.0
13095,1.0,0.0
13097,1.0,0.0
13099,7.0,0.0
13101,5.0,3.0
13103,2.0,0.0
13105,3.0,1.0
13107,7.5,0.5
13109,7.0,0.0
13111,10.0,0.0
13113,1.0,0.0
13115,1.0,0.0
13117,1.0,0.0
13119,10.0,0.0
13121,1.0,0.0
13123,3.0,1.0
13125,9.0,0.0
13127,1.0,0.0
13129,4.0,0.0
13131,7.0,0.5
13133,8.0,2.0
13135,1.0,0.0
13137,4.0,0.0
13139,1.0,0.0
13141,5.0,0.0
13143,2.0,0.0
13145,2.0,0.0
13147,8.0,1.0
13149,5.0,1.0
13151,1.0,0.0
13153,1.0,0.0
13155,6.0,1.0
13157,3.0,1.0
13159,2.0,0.0
13161,7.0,1.0
13163,9.5,0.5
13165,4.5,2.5
13167,5.0,0.0
13169,2.0,0.0
13171,2.0,0.0
13173,2.0,0.0
13175,4.0,0.0
13177,1.0,0.0
13179,1.0,0.0
13181,2.0,0.0
13183,2.0,0.0
13185,1.0,0.0
13187,2.5,0.5
13189,7.0,0.0
13191,2.0,0.0
13193,3.5,1.5
13195,2.0,0.0
13197,2.0,0.0
13199,2.5,0.5
13201,10.0,0.0
13205,7.0,1.0
13207,2.0,0.0
13209,10.0,0.0
13211,2.0,0.0
13213,2.0,0.0
13215,1.0,0.0
13217,1.0,0.0
13219,1.5,0.5
13221,2.0,0.0
13223,1.0,0.0
13225,4.0,0.0
13227,2.0,0.0
13229,5.0,0.0
13231,2.0,0.0
13233,2.0,0.0
13235,2.0,0.0
13237,10.0,0.0
13239,8.0,0.0
13241,7.0,3.0
13243,4.5,2.5
13245,1.0,0.0
13247,1.0,0.0
13249,5.0,0.0
13251,7.0,3.0
13253,7.0,2.0
13255,1.0,0.0
13257,4.0,0.0
13259,6.0,4.0
13261,4.0,0.0
13263,2.0,0.0
13265,10.0,0.0
13267,7.0,3.0
13269,2.0,0.0
13271,8.0,0.0
13273,2.0,0.0
13275,4.0,0.0
13277,5.0,0.0
13279,4.0,0.0
13281,10.0,0.0
13283,6.0,1.0
13285,4.0,0.0
13287,8.5,1.5
13289,2.0,0.0
13291,10.0,0.0
13293,4.0,1.0
13295,1.0,0.0
13297,1.0,0.0
13299,4.0,0.0
13301,8.0,0.0
13303,7.0,0.0
13305,4.5,0.5
13307,2.0,0.0
13309,10.0,0.0
13311,2.0,0.0
13313,1.0,0.0
13315,5.0,1.0
13317,8.5,1.0
13319,5.0,3.0
13321,2.0,0.0
15001,7.0,3.0
15003,1.0,0.0
15005,54.5,44.5
15007,5.0,1.0
15009,4.0,2.0
16001,1.0,0.0
16003,10.0,0.0
16005,1.0,0.0
16007,10.0,0.0
16009,7.5,0.5
16011,4.0,1.5
16013,5.5,1.5
16015,2.0,0.0
16017,5.0,1.0
16019,1.0,0.0
16021,8.5,1.5
16023,10.0,0.0
16025,10.0,0.0
16027,1.0,0.0
16029,8.5,1.5
16031,4.5,0.5
16033,10.0,0.0
16035,7.5,0.5
16037,10.0,0.0
16039,4.0,0.0
16041,8.5,1.5
16043,10.0,0.0
16045,2.0,0.0
16047,7.0,0.0
16049,10.0,0.0
16051,2.0,0.0
16053,4.0,0.0
16055,1.0,0.0
16057,4.0,0.0
16059,7.0,0.0
16061,10.0,0.0
16063,10.0,0.0
16065,4.0,0.0
16067,7.0,3.0
16069,1.0,0.0
16071,10.0,0.0
16073,2.0,0.0
16075,4.0,0.0
16077,4.5,2.5
16079,7.0,0.0
16081,10.0,0.0
16083,4.0,0.0
16085,10.0,0.0
16087,7.0,0.0
17001,4.0,0.0
17003,4.5,2.5
17005,5.0,2.5
17007,1.0,0.0
17009,7.5,0.5
17011,6.5,1.0
17013,2.5,0.5
17015,9.5,0.5
17017,7.0,0.0
17019,1.0,0.0
17021,4.5,2.0
17023,7.0,0.5
17025,8.0,0.5
17027,7.0,2.5
17029,4.0,0.0
17031,1.0,0.0
17033,7.5,0.5
17035,10.0,0.0
17037,1.0,0.0
17039,2.0,0.0
17041,7.0,3.0
17043,1.0,0.0
17045,8.0,1.0
17047,10.0,0.0
17049,4.5,0.5
17051,7.0,1.0
17053,7.0,2.0
17055,7.0,0.5
17057,4.0,1.0
17059,10.0,0.0
17061,6.0,1.0
17063,2.5,1.5
17065,9.0,0.0
17067,6.0,1.0
17069,8.5,0.5
17071,5.0,0.0
17073,4.0,2.0
17075,7.0,3.0
17077,1.5,0.5
17079,9.0,1.0
17081,4.0,0.0
17083,2.0,0.0
17085,10.0,0.0
17087,2.0,0.0
17089,1.0,0.0
17091,1.0,0.0
17093,1.0,0.0
17095,4.0,0.0
17097,1.0,0.0
17099,4.0,0.0
17101,7.0,0.0
17103,4.0,1.0
17105,5.0,1.5
17107,4.0,0.0
17109,4.0,0.0
17111,1.0,0.0
17113,1.0,0.0
17115,1.0,0.0
17117,2.0,0.0
17119,1.0,0.0
17121,6.0,2.0
17123,3.0,1.0
17125,8.0,2.0
17127,5.0,0.0
17129,2.0,0.0
17131,4.5,2.5
17133,2.0,0.0
17135,7.0,0.0
17137,4.0,0.0
17139,4.5,2.5
17141,4.0,2.0
17143,1.0,0.0
17145,8.0,1.0
17147,2.0,0.0
17149,8.0,1.0
17151,9.0,1.0
17153,10.0,0.0
17155,5.0,0.0
17157,7.0,0.0
17159,7.0,0.0
17161,1.0,0.0
17163,1.0,0.0
17165,7.0,0.0
17167,1.0,0.0
17169,8.0,0.0
17171,7.5,2.5
17173,6.0,3.5
17175,2.0,0.0
17177,4.0,0.0
17179,1.0,0.0
17181,7.0,1.0
17183,1.0,0.0
17185,7.0,0.0
17187,7.0,1.0
17189,8.0,1.0
17191,8.0,0.0
17193,8.0,1.0
17195,4.0,0.0
17197,1.0,0.0
17199,1.0,0.0
17201,1.0,0.0
17203,2.0,0.0
18001,5.0,1.0
18003,1.0,0.0
18005,1.0,0.0
18007,3.0,1.0
18009,8.0,1.0
18011,2.0,1.0
18013,2.0,0.0
18015,2.0,0.0
18017,4.0,1.0
18019,1.0,0.0
18021,2.0,0.0
18023,4.0,0.5
18025,3.0,1.0
18027,5.0,1.0
18029,2.0,1.0
18031,4.0,0.5
18033,4.0,0.0
18035,1.0,0.0
18037,5.0,0.0
18039,1.0,0.0
18041,4.0,0.0
18043,1.0,0.0
18045,7.0,3.0
18047,7.0,3.0
18049,9.0,0.5
18051,7.0,1.0
18053,4.0,0.0
18055,7.0,3.0
18057,1.0,0.0
18059,1.0,0.0
18061,2.0,0.0
18063,1.0,0.0
18065,4.0,0.0
18067,1.0,0.0
18069,4.0,0.0
18071,4.0,0.0
18073,2.0,0.0
18075,7.0,0.0
18077,4.0,0.0
18079,4.0,0.5
18081,1.0,0.0
18083,4.0,0.0
18085,5.0,1.0
18087,10.0,0.0
18089,1.0,0.0
18091,1.0,0.0
18093,4.0,1.0
18095,1.0,0.0
18097,1.0,0.0
18099,5.0,1.5
18101,5.0,2.0
18103,4.0,1.5
18105,1.0,0.0
18107,4.0,1.0
18109,2.0,0.0
18111,6.0,4.0
18113,4.0,1.0
18115,6.0,4.0
18117,10.0,0.0
18119,2.0,0.0
18121,4.5,2.5
18123,7.0,0.0
18125,8.0,2.0
18127,1.0,0.0
18129,7.0,3.0
18131,7.5,1.5
18133,3.0,1.0
18135,7.0,1.5
18137,8.5,1.5
18139,7.0,2.0
18141,1.0,0.0
18143,4.0,1.0
18145,4.0,0.5
18147,3.0,1.0
18149,6.0,1.0
18151,5.0,1.0
18153,7.0,3.0
18155,3.0,0.0
18157,1.0,0.0
18159,4.5,2.5
18161,7.5,2.5
18163,1.0,0.0
18165,2.0,0.0
18167,1.0,0.0
18169,5.0,1.0
18171,8.5,1.5
18173,1.0,0.0
18175,7.0,2.5
18177,4.0,0.0
18179,7.0,1.0
18181,5.0,3.0
18183,2.0,0.0
19001,10.0,0.0
19003,10.0,0.0
19005,10.0,0.0
19007,8.0,0.0
19009,10.0,0.0
19011,2.0,0.0
19013,1.0,0.0
19015,4.0,1.0
19017,7.0,2.0
19019,5.0,2.0
19021,7.5,2.5
19023,8.0,2.0
19025,10.0,0.0
19027,9.0,1.0
19029,8.0,1.0
19031,7.0,3.0
19033,4.0,0.0
19035,10.0,0.0
19037,10.0,0.0
19039,7.0,1.0
19041,4.5,0.5
19043,10.0,0.0
19045,4.0,0.0
19047,8.0,0.0
19049,2.0,1.0
19051,7.5,2.5
19053,10.0,0.0
19055,9.0,1.0
19057,4.0,0.0
19059,4.0,0.0
19061,1.0,0.0
19063,7.5,0.5
19065,10.0,0.0
19067,7.0,1.0
19069,10.0,0.0
19071,10.0,0.0
19073,8.5,1.5
19075,6.0,4.0
19077,10.0,0.0
19079,7.0,1.0
19081,10.0,0.0
19083,10.0,0.0
19085,2.0,0.0
19087,8.0,0.0
19089,10.0,0.0
19091,7.5,0.5
19093,10.0,0.0
19095,8.5,1.5
19097,7.0,0.5
19099,4.0,2.0
19101,4.5,0.5
19103,1.0,0.0
19105,7.0,3.0
19107,10.0,0.0
19109,10.0,0.0
19111,4.0,0.0
19113,1.0,0.0
19115,10.0,0.0
19117,7.5,0.5
19119,10.0,0.0
19121,2.0,0.0
19123,4.0,0.0
19125,7.0,0.0
19127,4.0,0.0
19129,2.0,0.0
19131,10.0,0.0
19133,10.0,0.0
19135,7.0,0.0
19137,8.5,1.5
19139,4.0,0.0
19141,10.0,0.0
19143,8.5,1.5
19145,7.0,0.0
19147,9.0,1.0
19149,7.0,3.0
19151,10.0,0.0
19153,1.0,0.0
19155,1.0,0.0
19157,8.0,1.0
19159,10.0,0.0
19161,10.0,0.0
19163,1.0,0.0
19165,8.5,1.5
19167,7.0,0.0
19169,1.0,0.0
19171,5.5,1.5
19173,10.0,0.0
19175,7.5,0.5
19177,10.0,0.0
19179,4.0,0.0
19181,2.0,0.0
19183,7.0,2.0
19185,10.0,0.0
19187,4.0,0.0
19189,10.0,0.0
19191,8.0,0.0
19193,1.0,0.0
19195,6.0,1.0
19197,10.0,0.0
20001,8.0,1.0
20003,8.5,1.5
20005,4.0,0.0
20007,10.0,0.0
20009,4.0,0.0
20011,7.0,0.0
20013,10.0,0.0
20015,2.0,0.0
20017,5.0,0.0
20019,10.0,0.0
20021,6.0,2.5
20023,10.0,0.0
20025,10.0,0.0
20027,8.5,1.5
20029,8.5,1.5
20031,10.0,0.0
20033,10.0,0.0
20035,4.0,0.0
20037,4.0,0.0
20039,10.0,0.0
20041,7.0,1.5
20043,2.0,1.0
20045,1.0,0.0
20047,10.0,0.0
20049,10.0,0.0
20051,4.0,0.0
20053,7.5,0.5
20055,4.0,0.0
20057,4.0,0.0
20059,4.0,0.0
20061,4.0,0.0
20063,10.0,0.0
20065,10.0,0.0
20067,7.5,0.5
20069,10.0,0.0
20071,10.0,0.0
20073,5.0,2.0
20075,10.0,0.0
20077,10.0,0.0
20079,4.0,0.0
20081,10.0,0.0
20083,5.0,0.0
20085,2.0,0.0
20087,2.0,0.0
20089,10.0,0.0
20091,1.0,0.0
20093,10.0,0.0
20095,7.0,3.0
20097,10.0,0.0
20099,4.5,0.5
20101,10.0,0.0
20103,4.0,0.0
20105,10.0,0.0
20107,2.0,0.0
20109,10.0,0.0
20111,4.0,0.0
20113,5.0,1.0
20115,8.5,1.5
20117,10.0,0.0
20119,10.0,0.0
20121,2.0,0.0
20123,7.5,0.5
20125,7.0,3.0
20127,8.0,2.0
20129,10.0,0.0
20131,10.0,0.0
20133,7.0,0.0
20135,10.0,0.0
20137,7.0,0.0
20139,2.0,0.0
20141,10.0,0.0
20143,7.5,2.5
20145,7.5,0.5
20147,8.0,1.0
20149,7.0,1.5
20151,7.0,0.0
20153,10.0,0.0
20155,4.0,0.0
20157,10.0,0.0
20159,10.0,0.0
20161,1.0,0.0
20163,10.0,0.0
20165,10.0,0.0
20167,8.5,1.5
20169,4.0,0.0
20171,7.0,0.0
20173,1.0,0.0
20175,4.0,0.0
20177,1.0,0.0
20179,10.0,0.0
20181,8.5,1.5
20183,10.0,0.0
20185,10.0,0.0
20187,10.0,0.0
20189,7.5,0.5
20191,4.5,2.5
20193,8.5,1.5
20195,10.0,0.0
20197,2.5,0.5
20199,10.0,0.0
20201,10.0,0.0
20203,10.0,0.0
20205,9.0,1.0
20207,10.0,0.0
20209,1.0,0.0
21001,8.0,0.0
21003,7.5,0.5
21005,5.0,0.0
21007,5.0,0.0
21009,5.0,0.0
21011,5.0,0.0
21013,4.0,1.0
21015,1.0,0.0
21017,4.5,1.0
21019,1.0,0.0
21021,4.0,0.0
21023,2.0,0.0
21025,8.0,0.0
21027,3.0,0.5
21029,1.0,0.0
21031,2.0,0.0
21033,7.0,0.0
21035,4.0,0.0
21037,1.0,0.0
21039,5.0,0.0
21041,8.0,0.0
21043,2.0,0.0
21045,10.0,0.0
21047,4.0,1.0
21049,4.0,0.0
21051,7.5,2.0
21053,10.0,0.0
21055,9.5,0.5
21057,10.0,0.0
21059,1.0,0.0
21061,2.5,0.5
21063,2.5,0.5
21065,6.0,0.0
21067,1.0,0.0
21069,7.0,0.5
21071,8.0,0.5
21073,4.0,0.0
21075,8.5,1.5
21077,2.0,0.0
21079,6.5,0.5
21081,2.0,0.0
21083,5.0,0.0
21085,8.0,0.0
21087,5.0,0.0
21089,1.0,0.0
21091,2.0,0.0
21093,1.0,0.0
21095,8.0,1.0
21097,6.0,1.0
21099,9.0,1.0
21101,1.0,0.0
21103,2.0,0.0
21105,10.0,0.0
21107,4.0,0.0
21109,5.0,0.0
21111,1.0,0.0
21113,2.0,0.0
21115,9.0,1.0
21117,1.0,0.0
21119,10.0,0.0
21121,7.0,1.0
21123,3.0,0.5
21125,5.0,0.0
21127,2.0,0.0
21129,5.0,2.0
21131,10.0,0.0
21133,10.0,0.0
21135,5.5,0.5
21137,5.0,0.0
21139,5.0,0.0
21141,7.0,1.5
21143,10.0,0.0
21145,4.0,0.0
21147,7.5,2.5
21149,2.0,0.0
21151,4.0,0.0
21153,10.0,0.0
21155,7.5,0.5
21157,9.0,1.0
21159,10.0,0.0
21161,4.0,0.0
21163,2.0,0.0
21165,5.0,0.0
21167,7.0,0.0
21169,5.0,0.0
21171,10.0,0.0
21173,4.5,0.5
21175,10.0,0.0
21177,7.0,1.0
21179,5.0,1.0
21181,10.0,0.0
21183,7.0,3.0
21185,1.0,0.0
21187,6.0,4.0
21189,9.0,1.0
21191,2.0,0.0
21193,8.0,0.5
21195,8.0,1.0
21197,6.0,1.0
21199,4.0,0.0
21201,6.0,0.0
21203,5.5,1.0
21205,8.5,1.5
21207,10.0,0.0
21209,4.0,0.0
21211,4.0,0.0
21213,7.0,0.0
21215,2.0,0.0
21217,4.0,0.0
21219,5.0,0.5
21221,7.0,2.0
21223,3.5,1.5
21225,8.0,1.0
21227,1.0,0.0
21229,9.0,1.0
21231,8.0,1.0
21233,4.0,1.0
21235,5.0,1.0
21237,2.5,0.5
21239,4.0,0.0
22001,4.5,1.5
22003,3.0,1.0
22005,1.0,0.0
22007,1.5,0.5
22009,8.0,1.0
22011,4.0,1.0
22013,5.0,3.0
22015,1.0,0.0
22017,1.0,0.0
22019,1.0,0.0
22021,2.0,0.0
22023,10.0,0.0
22025,10.0,0.0
22027,7.0,1.0
22029,5.0,1.0
22031,2.0,0.0
22033,1.0,0.0
22035,7.0,0.0
22037,2.0,0.0
22039,7.0,0.5
22041,8.0,0.5
22043,2.0,0.0
22045,1.0,0.0
22047,2.0,0.0
22049,7.0,0.0
22051,1.0,0.0
22053,7.0,0.0
22055,1.0,0.0
22057,1.0,0.0
22059,2.0,0.0
22061,4.0,0.0
22063,1.0,0.0
22065,7.0,0.0
22067,5.0,0.5
22069,5.0,1.0
22071,1.0,0.0
22073,1.0,0.0
22075,7.0,3.0
22077,2.0,0.0
22079,1.0,0.0
22081,6.0,4.0
22083,2.0,0.0
22085,9.0,1.0
22087,1.0,0.0
22089,1.0,0.0
22091,2.0,0.0
22093,2.0,0.0
22095,1.0,0.0
22097,4.0,1.0
22099,2.0,0.0
22101,4.0,0.0
22103,1.0,0.0
22105,1.0,0.0
22107,6.0,4.0
22109,1.0,0.0
22111,2.0,0.0
22113,2.0,0.0
22115,8.0,0.0
22117,5.0,1.0
22119,5.0,1.0
22121,1.0,0.0
22123,10.0,0.0
22125,2.0,0.0
22127,7.5,0.5
23001,1.0,0.0
23003,8.0,1.0
23005,1.0,0.0
23007,10.0,0.0
23009,8.0,2.0
23011,4.0,1.0
23013,10.0,0.0
23015,10.0,0.0
23017,7.0,3.0
23019,2.0,1.0
23021,10.0,0.0
23023,5.0,1.0
23025,7.0,3.0
23027,6.0,3.5
23029,10.0,0.0
23031,2.0,1.0
24001,1.0,0.0
24003,1.0,0.0
24005,1.0,0.0
24009,2.0,0.0
24011,3.0,1.0
24013,2.0,0.0
24015,1.0,0.0
24017,2.0,0.0
24019,4.5,0.5
24021,1.0,0.0
24023,10.0,0.0
24025,1.0,0.0
24027,1.0,0.0
24029,9.0,1.5
24031,1.0,0.0
24033,1.0,0.0
24035,2.0,1.0
24037,2.0,1.0
24039,2.0,0.0
24041,4.0,1.0
24043,1.0,0.0
24045,1.0,0.0
24047,4.0,0.0
24510,1.0,0.0
25001,1.0,0.0
25003,2.0,1.0
25005,1.0,0.0
25007,4.0,0.0
25009,1.0,0.0
25011,4.0,0.5
25013,1.0,0.0
25015,1.0,0.0
25017,1.0,0.0
25019,7.5,0.5
25021,1.0,0.0
25023,1.0,0.0
25025,1.0,0.0
25027,1.0,0.0
26001,10.0,0.0
26003,7.0,1.0
26005,2.0,1.0
26007,4.0,0.0
26009,10.0,0.0
26011,10.0,0.0
26013,10.0,0.0
26015,2.0,0.0
26017,1.0,0.0
26019,7.5,2.5
26021,1.0,0.0
26023,5.0,1.0
26025,1.0,0.0
26027,2.0,1.0
26029,8.0,1.0
26031,8.0,1.0
26033,5.0,1.0
26035,7.0,1.0
26037,2.0,1.0
26039,8.0,1.0
26041,5.0,1.0
26043,4.0,0.0
26045,1.5,0.5
26047,8.0,1.0
26049,1.0,0.0
26051,3.0,1.0
26053,9.0,1.0
26055,4.0,0.0
26057,5.0,1.0
26059,5.0,1.0
26061,5.0,1.0
26063,10.0,0.0
26065,1.0,0.0
26067,4.0,2.0
26069,7.5,0.5
26071,8.0,1.0
26073,4.0,0.0
26075,1.0,0.0
