FIPS,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,05-06-2020,05-07-2020,05-08-2020,05-09-2020,05-10-2020,05-11-2020,05-12-2020,05-13-2020,05-14-2020,05-15-2020,05-16-2020,05-17-2020,05-18-2020,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020
49035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09121395030337992,0.035775702945348035,0.4236721649624208,0.4708631397038074,0.4489032567106784,0.4399637011122253,0.4559279446791927,0.4720666424430932,0.4958801871618165,0.5089721778234099,0.5205166690253283,0.5165086067391547,0.4993400502980213,0.45521104730268,0.46993778310975604,0.510314360322512,0.5076757062897701,0.4952306569900578,0.5044427619863383,0.4995656153730784,0.5192817300510609,0.5451775683091026,0.517153856414793,0.5290518335981127,0.5742786534331938,0.574799156951515,0.5385580696025837,0.5348173904214399,0.5534531451975381,0.5549474785626408,0.5634249985368097,0.5570719601906399,0.5541832406419221,0.5700053879151521,0.5641116918284032,0.5586718069779092,0.5721469928063541,0.5483096329075633,0.5429243219270972,0.5428985215994403,0.5364408371051046,0.5249185600328761,0.505513371949623,0.5271826273953355,0.5311071001596729,0.5384300256747104,0.5711342781147253,0.5417698177648761,0.5290443264735114,0.5370196702753178,0.4771814864534383,0.4937211178438991,0.5270984897913916,0.5287843037479457,0.5261795809168736,0.5266470452665577,0.5274622909230354,0.5209830595030042,0.5203259019964451,0.4978326194150364,0.5304265874034526,0.5346902092969462,0.5333449134071366,0.5866355960596481,0.5859929690717124,0.5858099015251143,0.5731247091085857,0.5746340459855251,0.5770551238213132,0.5614567775787875,0.5758496531618218,0.578314405977413,0.5771330318191146,0.5940592262375138,0.6128901612580278,0.5961252733770736,0.6309094773115987,0.6158489588364581,0.6102973644357731,0.6310221998424966,0.611200396507499,0.6128076324665312,0.5763973624744531,0.5888402219787096,0.5772994834066925,0.5942504631927467,0.5958613712834405,0.5990032158502058,0.5996041566359507,0.6026158539233414,0.6434290423812778,0.6144613852547147,0.6275602457293217,0.6282393258877346,0.6317292745737173,0.633668463942338,0.6253334553290371,0.6312479771214246,0.6378731748256823,0.6438330768793902,0.6440719708312416,0.6234391082652704,0.6254749568389933,0.6350128860976457,0.6616290638006843,0.6935278098552029,0.7024588981233132,0.6931325399121534,0.7144789874652775,0.7090610897659743,0.6965916250955185,0.6878121976417976,0.6984584980226834,0.7281051084540878,0.7148062729782027,0.7173039875101083,0.7416275425066727,0.7396353212247951,0.7412543819590425,0.7453494171389988,0.7373249586099917,0.733333798998086,0.7179328544905493,0.7485042645994034,0.7103992049832825,0.7459867573121421,0.7588347215304037,0.7103378293580614,0.6894176433799457,0.6834654301720346,0.6865026178646891,0.6870022822687287,0.6738651448754814,0.674719121740425,0.6776272770832049,0.6721135890352649,0.6694412550412284,0.6612607752258559,0.6569002001325853,0.6513428161821706
51550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07787181993853083,0.16969453839379767,0.12202744637389674,0.14892802890071993,0.2153762402656109,0.3185960012253247,0.29162449918968336,0.3250305971870367,0.3653632324858,0.3939005503982545,0.4500048515848721,0.4270590846498412,0.4378373579359029,0.4978477970425431,0.4991069248058866,0.4778365253626458,0.4807568376320231,0.4880374442542072,0.4942757082909845,0.4965624907556722,0.4958569137375817,0.5016690807170595,0.4967869509421209,0.4820615579500633,0.4636011351500346,0.4702187170648121,0.4586522634522594,0.4504296784591722,0.4582546704094066,0.42452002438239467,0.41209750358542296,0.4055147099604864,0.4257968146918308,0.4281131118849113,0.4356811105235791,0.4662941810593514,0.4408017413201439,0.4358821640798264,0.4637153838889737,0.40008815750766624,0.42312878857561376,0.461412433108059,0.4605131620105686,0.4649383874148078,0.4642589629020686,0.4595311759055971,0.4542669082201073,0.4502077133554773,0.4267261535289632,0.46319151758480104,0.4643406852467188,0.4627090851567584,0.5102560047212079,0.504840759874664,0.4929690863477276,0.4755714891212224,0.475725116699359,0.466852504242334,0.45475579970162505,0.4754184036753941,0.4729281657829626,0.4771053414799612,0.50260977574187,0.5297136711027538,0.5122363031673254,0.5492868452113269,0.5180645890370126,0.5293365279347073,0.5503952185332097,0.5317694555861034,0.5358081788352633,0.4930067351597128,0.4990374313613358,0.4816312354429068,0.5031886302124055,0.508983666974386,0.5005008265191229,0.4906984536825214,0.4780316038734618,0.5184506188388242,0.4830480564879061,0.4962019348652764,0.5056972029619832,0.5052300787382753,0.5052300787382753,0.4922057671326404,0.4977458061482338,0.5003974348801731,0.4989006410504659,0.4912200156549722,0.4740420946499602,0.4790929691061174,0.4896016149442373,0.5229299692128729,0.5538217552937774,0.5464954296062043,0.5353799891893408,0.5579064779596542,0.5460606153262512,0.5379202701204863,0.5353909085794213,0.5431424221441231,0.596275631574792,0.5770710379734849,0.5702697940275416,0.5898001023396497,0.5972762883849783,0.6082110359990041,0.6099876522624628,0.6209026784570886,0.6247215776087571,0.6257232843323283,0.6823522437154232,0.6456459497612206,0.6900309352037024,0.7187327031150266,0.6770656445177914,0.6605267549014947,0.6673139282283669,0.6749358385531246,0.6815624182511498,0.6686985243546776,0.6796099712005983,0.6954505491016402,0.6988637864894199,0.7020477862993866,0.6938468064199801,0.6946380449127335,0.6897493679974634
51680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3703304557689653,0.3464618317096224,0.0,0.0,0.0,0.0,0.0,0.2643579010408177,0.1801313591181436,0.17316237018868422,0.191717722811598,0.2263769276063439,0.2300787003770733,0.2607539551023272,0.28488253519263085,0.32260483597512835,0.36860150932369856,0.3181950926219184,0.3145108191490625,0.3883717255139535,0.4623962471549365,0.3960295845732006,0.4047680909372669,0.4407274045069384,0.4622004810963037,0.4652148658364095,0.4636790767583407,0.4594199131141855,0.4544933906012012,0.4353308168240432,0.4463993926076837,0.4603083742713852,0.4480810650801148,0.4369041663252519,0.4157133150804021,0.402430302045943,0.3999106808891158,0.36368247074090265,0.3656345236719151,0.37804989239964143,0.37847455105085787,0.4176574879718125,0.3785361916472407,0.3709133151135502,0.4018740962121383,0.35393864889972393,0.3791456142798683,0.41947012194053024,0.4030893097745232,0.412508661477252,0.3954810732397947,0.3907773125399763,0.3791281402193491,0.3685907058580277,0.3357877246072221,0.3860846503525113,0.3927773129230331,0.3927773129230331,0.3997176481989073,0.3661333500100917,0.34429666575768103,0.3362336128915245,0.3363422290655768,0.2966300214691101,0.27132589830550924,0.32437372812876225,0.3241659306151805,0.32406257413352185,0.3391826498673553,0.3752305363935312,0.3249741159534691,0.3599462791489432,0.3219175074056297,0.3066509210334866,0.3433428237268377,0.2865258924344594,0.2950422853791659,0.2379108997753293,0.25263946032611656,0.30236976798305204,0.3346531019323661,0.33473921398680834,0.33482557290401943,0.3070669344926961,0.2707222456612005,0.32518257764751385,0.3003137425464814,0.35277619666469345,0.360671213008476,0.3608919088185299,0.39160967632912863,0.3776444301128852,0.3963531831529196,0.3908034564529287,0.4022367404883758,0.3957526855816979,0.3546315561309105,0.376908406565409,0.39737274883498575,0.4567697659778061,0.4871493220186257,0.4764658174527552,0.4572219944207538,0.5012509449607153,0.4979770086559463,0.4678041987604381,0.4453300964663195,0.4713992285900842,0.521479237106816,0.4990513104456445,0.5046387944026934,0.5196031906498297,0.5080325352601004,0.4922693994561933,0.4892960638476468,0.5167156300123806,0.5172710133158358,0.4840327507917184,0.5246363108159365,0.4817072953336852,0.5322305153486683,0.5714090566620407,0.5387381415698602,0.5162528034867458,0.5305917968724871,0.5607228829531551,0.5905266235470974,0.5774318782485511,0.5787337389407949,0.5819735455529187,0.5891415023490688,0.6144481520035178,0.6200295703840919,0.6304991011189502,0.6288108463489056
51700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17116299594140905,0.2706624228361534,0.23610017930944235,0.22133604303552126,0.2667812823534164,0.2526418579195022,0.2708653787714703,0.3204065600214869,0.3445557204280757,0.3619599442254108,0.3364201254595082,0.3694914773952339,0.3998589694695134,0.4137175819758198,0.4471374683453636,0.4216074854817427,0.4269573283480126,0.4868950199799919,0.4897270189478109,0.4456032221752803,0.4469839931725212,0.4447968619634921,0.4598175815677442,0.4654380743414303,0.4781547491403979,0.4782834921025882,0.47031269678034404,0.4575846255450297,0.4462329843502517,0.4440116489975138,0.42583433439284896,0.4119930885612617,0.3999128125458196,0.3774096766787913,0.3612080495693051,0.34477194792935595,0.3560416889128942,0.3523457563392625,0.3228931080607358,0.3407389133962274,0.29640729638175284,0.2933974484814149,0.32339645015400964,0.25621089622398124,0.2851076307499193,0.35753310449726844,0.36378511259679663,0.3634850837633611,0.3605442349546169,0.3748821330583239,0.377967714315108,0.38902850891618496,0.3657099961965128,0.4123790196010429,0.419456474323423,0.4261512128316981,0.4726775565322641,0.4726775565322641,0.4790924138405971,0.4728486513295455,0.4759778287747292,0.477591525091691,0.4602900277523652,0.4813920802819378,0.4838360837431355,0.4781091517452589,0.5036106018108413,0.5279818710749733,0.5069275465134366,0.5367189070976119,0.5011204121020827,0.4859386553077568,0.5250230973413007,0.4901412667983617,0.5080046708834579,0.4608409080482162,0.4752205913556309,0.4566305888732656,0.4670922833826435,0.4712526534898754,0.4631373098826851,0.4462322093039102,0.4332494267156375,0.4882743246995275,0.4698789366598569,0.4999379322234788,0.5018527821598421,0.5032439050107974,0.5032439050107974,0.4994076885459579,0.4953760100424986,0.4936449065329205,0.5086710584673918,0.5052904410329762,0.4788461352396831,0.4833488001247153,0.4950895320955535,0.5212032254333763,0.526114485276298,0.5309088280230347,0.5043226259609579,0.5343760347941927,0.5218998849480725,0.5013429751072038,0.4889190186884169,0.4955758158564741,0.5426501088608099,0.5288530384786099,0.5285467148338602,0.5589993934809211,0.5632986131766476,0.5815308203368071,0.5923571426590792,0.5885226631566729,0.5938933092575467,0.616055601355799,0.6739479911693846,0.6399779134564562,0.6880126389523951,0.7193490058985602,0.6803581165497755,0.6784775646178909,0.6843588241591337,0.6912334662912943,0.6985171518806593,0.6897558175104477,0.6993513980021698,0.7048724665763524,0.7073208673790572,0.6984445827758032,0.688056747411938,0.6842826610938287,0.6798765557813062
50007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3843005870828504,0.3648360727237748,0.3218715711087106,0.3218715711087106,0.5483026727179287,0.5004320122473039,0.4774079076993051,0.4507173668673168,0.5284156976272858,0.6466598119923865,0.6070114755901334,0.6215915624471604,0.6261067567092735,0.6301288211187459,0.6143741050111369,0.6230552472180733,0.6463034746715071,0.6454727929500681,0.6171003917825915,0.6516603731922417,0.6575777144361984,0.6612393478258928,0.6721347744834288,0.6508598337666567,0.6633674428765514,0.6980890664378391,0.7025902509875059,0.6658110968254926,0.6721991126532557,0.6607273419307762,0.6620947336077353,0.6681972551520613,0.6692064696877799,0.6445089756251656,0.6369108474951348,0.6243684026775811,0.6023176586728517,0.5832419439829426,0.5369710092260543,0.5127754569510496,0.488133368287003,0.4794009447582912,0.4148768169863474,0.40613872203802615,0.4183115258447643,0.3996565931632626,0.3957619885765328,0.4388001978831296,0.4011110692696651,0.3793913268164277,0.4041713725837512,0.3286568580564295,0.3461560956229032,0.3936464753269782,0.3777124904069485,0.3715291895592029,0.3801546658716771,0.3774724606657736,0.33573360617902875,0.3190056800451871,0.26250934508519363,0.3008686800770732,0.30213853833323684,0.28895771358565764,0.3169805946366109,0.3002887999079598,0.33133614126283817,0.2962210010542495,0.296316691641314,0.288138888637845,0.21999744465352813,0.2468447134232595,0.2466865818816391,0.23348330107867396,0.27746096439753715,0.3325045549888466,0.30919628969903595,0.3807433544406715,0.3295824901485617,0.3144578880128855,0.3262491329616811,0.30411516675311945,0.3567982385489412,0.3029523508667127,0.4298140539378421,0.4058508884254562,0.4498725668128585,0.47620571185226895,0.4855365835368923,0.4809818582126119,0.4775964677687644,0.5346613425495608,0.5060930803867963,0.5292946647549193,0.5295073344760202,0.5298313416213005,0.5289147970454234,0.5161077808340125,0.4808527798289793,0.4888118200467507,0.4716768414028098,0.4505075759927426,0.4059756951510927,0.3926954013496585,0.3971442654815833,0.4015181671852179,0.3904857454877106,0.3626277810527674,0.33351368189311825,0.3801720901700718,0.35290339256498177,0.32976758898377123,0.3341131239610979,0.33894457395130445,0.4033163328520051,0.3726473942033812,0.3631781866858493,0.3774343130770606,0.3483969261075144,0.3853737030747088,0.3892658016403713,0.4066483363456105,0.4212821237027019,0.3769404093578611,0.4605138352752922,0.3930480139615671,0.4271341188901928,0.4729851321944714,0.4448905282219395,0.3861160364448853,0.38681708403532217,0.4187317006699204,0.4170509603353521,0.3944741817342313,0.394665042024432,0.3961538450311684,0.3825330002659637,0.3801191589435832,0.35998278699083097,0.3460659415487575,0.3305214079250222
51760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3818085784268591,0.35763746017977743,0.3846455817393595,0.3997124622654743,0.0,0.3810176998558644,0.4082144963065991,0.3826856948115366,0.31735062751088955,0.3350373818827374,0.37014637664086814,0.3815255134966876,0.3482712894306012,0.3513625643843837,0.3691056126177753,0.43476276253313306,0.5027833155296144,0.4801037055598999,0.4900644755202234,0.5346125363674206,0.5350637201406022,0.499701184534653,0.5088988254007846,0.5182318636974046,0.5259551900316509,0.5341162838337717,0.542062958349064,0.5470955449963967,0.5424717364394035,0.5267205874526976,0.5068956765488091,0.5129154082386235,0.5140466816836554,0.5054384974980831,0.5083713022009613,0.4923689349553749,0.4730559133115744,0.45739568208268894,0.4887565365262362,0.4947587777010029,0.4926331039192066,0.5245911468884936,0.4999411487930429,0.4909529323220386,0.5102928269029999,0.4547272741358465,0.4695498547088652,0.5100271099883245,0.5146419766299112,0.517524944208593,0.5228207511186076,0.528728440205714,0.5191052965086281,0.5209123000952841,0.5017273961680261,0.5398599332830323,0.5481915442241588,0.5492863010058627,0.6135255217748743,0.6326061810457502,0.6311956702112833,0.6217500236410953,0.6259101507765298,0.6287748729876971,0.6250033703867345,0.6439321977440114,0.6501579975002444,0.653473582183958,0.670458903257429,0.694014438438846,0.6918098461351259,0.7156252316319717,0.7009643020681073,0.6862546698994421,0.7106210551125159,0.7037345255248263,0.6956787750407024,0.6593258674788478,0.6623398753336082,0.6484697490154997,0.6633615065192751,0.6628137315733403,0.6633446454589192,0.6555987565841798,0.6533765091042655,0.6883041081354704,0.6537725353222321,0.6598817484952019,0.6489175296355401,0.6348726117236457,0.6295892901649761,0.6200410311863588,0.6175326021191008,0.6166857836347972,0.6070963317347299,0.6017743644765328,0.5732175001018864,0.5762762122014926,0.5890604003691,0.6127407715999624,0.6390213228613619,0.6304070421746238,0.6143564971703752,0.6333984272705512,0.6209017991988871,0.5937550466729681,0.5773178898575162,0.5792841299330542,0.6129912159721032,0.5894249807032079,0.5848498155332208,0.5970577103253376,0.5818430778682436,0.5797046308848594,0.5726813619252162,0.5700919434883169,0.5677501233564843,0.5462206601412877,0.6066229112742092,0.5567375692669632,0.6009027682676069,0.6292396603819194,0.5916985251911963,0.5588810523957758,0.55846406189933,0.5775883735177135,0.5806880344561424,0.5721267187912777,0.5707424926742525,0.5662543251134929,0.5610437168115672,0.5749039622999814,0.5679660636368409,0.5756344088341268,0.5751241623389594
53033,0.0,0.0,0.5529639412800735,0.803055435969889,0.8301642531507787,0.8258338278181703,0.9033375579857662,1.0,1.0,0.8865296933561216,0.8570604339073171,0.8269070082239834,0.8818806099811101,0.7603753103716595,0.7913133939851104,0.8121630512416322,0.8120558226220789,0.8108938959265094,0.8478915463593111,0.8539514949386248,0.8307137363740598,0.8233441497024284,0.8097479611855135,0.8076130861348203,0.7812514523768835,0.7502571617728381,0.7153449743331637,0.692798528493139,0.6536308427040041,0.6279361157348108,0.6714702287651729,0.6622440588311332,0.6298489686908348,0.6325843692903027,0.6280025672629493,0.6357731799518084,0.6390123628046129,0.5911802915541006,0.5992923628636629,0.6393426417646646,0.6455532841630411,0.6120713404603862,0.6127697763763151,0.6229531637035657,0.6033865692949861,0.6146468931795368,0.6103142372679495,0.6043245736080304,0.6085910496310306,0.5854577136023661,0.5831359380299876,0.5914540551556985,0.5696193694517652,0.5505917549627913,0.5463346272970528,0.5275149287537114,0.5016232325874035,0.4808584462677633,0.498463907940739,0.4949278767570648,0.507106238214514,0.5333489199817696,0.5044641396715178,0.4937222492250308,0.4953327719783414,0.4395476608558364,0.44078438291518857,0.4841760904935698,0.4809919138420328,0.4780202052510939,0.4745031107019492,0.4706058258958871,0.4591593720336422,0.4537353004024291,0.4233375569174687,0.4635320235526511,0.4631140050406984,0.4607722451162625,0.5022098594129646,0.5046547195385751,0.4991299746644928,0.4781317620245697,0.4752537973975857,0.4698304363743202,0.4403885315410309,0.4573197263700066,0.44475896104632506,0.4526543609558041,0.4726438578021239,0.4851440681986503,0.45263230441142893,0.4899637226898559,0.4576559361865195,0.4337497263842747,0.4726583304324041,0.4385492542560751,0.453624910897831,0.4136492888708738,0.4291757227855627,0.4097083882882292,0.43521892584497057,0.42389837997557017,0.4233543216403027,0.4147557058854528,0.393081428848349,0.4341761791939078,0.3987609295066416,0.4371852162215311,0.4308760172075901,0.436430006132492,0.43818966342732,0.4162182541474734,0.4204126823452761,0.42806782011788624,0.4352186113637223,0.4316179659532154,0.3935491742303172,0.4061857414654085,0.4243676646464463,0.4711747465506882,0.4811484053969989,0.4796483576298161,0.4608702652509788,0.4967086906116992,0.49216788892747604,0.4764666507248511,0.4746984635398724,0.485769945290387,0.5350307841323038,0.5215102357782748,0.5314823889879167,0.5444710922390771,0.541585558474256,0.5439170663838027,0.5503429781800482,0.5387462909358516,0.5468038305146551,0.5295447681462245,0.5851304481646861,0.5244266426875474,0.5640739787704857,0.5980659491090133,0.5648914236222073,0.5284484635430478,0.5219342118097333,0.5367974143533758,0.5437670839669221,0.531917505380867,0.5373071299653278,0.5507581271664824,0.546316966223283,0.5416680492046175,0.5306422406302425,0.5315543212424733,0.5272371389423333
