FIPS,AgeDist
13033,0.1679
13035,0.1605
13037,0.1658
13039,0.1449
13043,0.1911
13045,0.1415
13047,0.1849
13049,0.1611
13051,0.1639
13053,0.0485
13055,0.1827
13057,0.1514
13059,0.1191
13061,0.2832
13063,0.1004
13065,0.1692
13067,0.131
13069,0.1441
13071,0.1634
13073,0.1432
13075,0.1682
13077,0.1471
13079,0.1978
13081,0.2001
13083,0.2044
13085,0.2056
13087,0.1713
13089,0.1326
13091,0.1915
13093,0.219
13095,0.1693
13097,0.122
13099,0.1953
13101,0.136
13103,0.1217
13105,0.2151
13107,0.1666
13109,0.1654
13111,0.3075
13113,0.1934
13115,0.1726
13117,0.1247
13119,0.1948
13121,0.1227
13123,0.2643
13125,0.1864
13127,0.213
13129,0.1558
13131,0.1905
13133,0.2981
13135,0.1077
13137,0.188
13139,0.1589
13141,0.2416
13143,0.1648
13145,0.1926
13147,0.228
13149,0.1759
13151,0.1224
13153,0.1331
13155,0.1844
13157,0.1469
13159,0.1807
13161,0.1632
13163,0.1891
13165,0.173
13167,0.1976
13169,0.1827
13171,0.1744
13173,0.1482
13175,0.1832
13177,0.1338
13179,0.0992
13181,0.2525
13183,0.1043
13185,0.1296
13187,0.1833
13189,0.1858
13191,0.2871
13193,0.1854
13195,0.1783
13197,0.2096
13199,0.2105
13201,0.2241
13205,0.1734
13207,0.1969
13209,0.1794
13211,0.2085
13213,0.1547
13215,0.1408
13217,0.1355
13219,0.1621
13221,0.1963
13223,0.1128
13225,0.1676
13227,0.2274
13229,0.1758
13231,0.1643
13233,0.159
13235,0.2328
13237,0.2509
13239,0.3203
13241,0.2847
13243,0.2602
13245,0.1481
13247,0.1521
13249,0.1793
13251,0.2009
13253,0.2398
13255,0.188
13257,0.2018
13259,0.149
13261,0.1756
13263,0.264
13265,0.2898
13267,0.1524
13269,0.217
13271,0.1927
13273,0.2044
13275,0.1903
13277,0.1563
13279,0.1719
13281,0.352
13283,0.1843
13285,0.1554
13287,0.1931
13289,0.237
13291,0.3445
13293,0.1896
13295,0.1924
13297,0.1617
13299,0.1777
13301,0.2313
13303,0.1813
13305,0.1643
13307,0.2402
13309,0.1544
13311,0.2331
13313,0.1463
13315,0.1879
13317,0.2407
13319,0.2074
13321,0.1999
15001,0.2235
15003,0.1869
15005,0.5111
15007,0.2119
15009,0.1939
16001,0.1541
16003,0.3066
16005,0.1506
16007,0.2115
16009,0.2328
16011,0.147
16013,0.206
16015,0.2758
16017,0.2586
16019,0.1371
16021,0.2386
16023,0.2527
16025,0.2398
16027,0.1438
16029,0.1779
16031,0.1463
16033,0.1935
16035,0.2852
16037,0.3111
16039,0.1419
16041,0.1461
16043,0.1785
16045,0.2264
16047,0.1836
16049,0.2896
16051,0.1209
16053,0.1345
16055,0.1965
16057,0.1459
16059,0.3168
16061,0.2818
16063,0.1503
16065,0.0744
16067,0.1632
16069,0.2067
16071,0.2043
16073,0.1815
16075,0.1909
16077,0.1656
