,"1_128_True_1_0_False_[]_[('Location', 3, 4), ('Time from Start', 0, 5), ('RawLabel', 0, -1), ('0 Cases Root 2', 0, 0), ('1 Deaths Root 2', 0, 0), ('2 Manufacturing', 0, 3), ('3 Vaccination', 0, 1), ('4 LinearSpace', 0, 2), ('5 CosWeekly', 0, 2), ('6 SinWeekly', 0, 2)]_0.2_60_64_[1, 2]_8_[]_[3, 5, 6, 7]_0.001_0.01_64_./GPCE/TFToriginal/TFTData/saved_models/FFFFWNPF/fixedTF1_CovidMay17_Manufacturing_Vaccine_3142_5_13_60_4_2_0_['MSE']_[1.0]_1_[3]_28"
loss,0.00028090657033414133
info,
