Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE019,0.006455587363026909,0.0006194166023542538
0.001,VaccinationFull,0.003210726379319604,0.0006079126619143173
0.002,AGE019,0.006706462304857175,0.000643488169408605
0.002,VaccinationFull,0.00234364533775224,0.00044374123096654634
0.003,AGE019,0.0060840574791589195,0.0005837681376372221
0.003,VaccinationFull,0.0021410485810012567,0.0004053819567272394
0.004,AGE019,0.005298626815246752,0.0005084057010583753
0.004,VaccinationFull,0.0018741367306185188,0.00035484538827102884
0.005,AGE019,0.004840884613087859,0.0004644851244057697
0.005,VaccinationFull,0.001667742486661508,0.0003157671052208587
0.006,AGE019,0.004339804816472699,0.00041640628545993707
0.006,VaccinationFull,0.001505413603807839,0.00028503207157963534
0.007,AGE019,0.003916836581290031,0.000375822287071016
0.007,VaccinationFull,0.0013921594709733558,0.0002635887552610401
0.008,AGE019,0.0035912986044222277,0.0003445867671671872
0.008,VaccinationFull,0.0013281315062964759,0.00025146582547967195
0.009,AGE019,0.003297987985308574,0.00031644347719076365
0.009,VaccinationFull,0.0012484833168150355,0.0002363853928410679
