FIPS,% Adults with Diabetes,% Black,% American Indian & Alaska Native,% 65 and over
5045,9.600000,12.001827,0.679455,12.484977
5047,13.100000,0.887142,1.431780,19.331836
5049,13.900000,0.635749,0.782460,26.253158
5051,15.100000,8.531174,0.762450,23.833633
5053,16.600000,2.677590,0.522322,18.006378
5055,14.600000,1.782681,0.611142,15.977937
5057,18.400000,29.635251,0.699140,17.961455
5059,17.800000,11.139135,0.643898,18.898549
5061,12.900000,20.530695,1.566599,17.944682
5063,13.800000,2.202877,0.812145,17.524816
5065,13.100000,2.067240,0.860737,25.792687
5067,23.800000,17.494498,0.725715,18.148831
5069,15.900000,56.769533,0.415480,17.290131
5071,12.900000,1.667788,1.170443,16.453519
5073,29.000000,35.902424,0.568692,24.034720
5075,9.300000,1.180479,0.590240,19.727394
5077,16.400000,53.878687,0.589872,19.632721
5079,15.500000,30.254801,0.530524,15.310469
5081,20.800000,19.608957,1.663151,21.004381
5083,18.000000,1.412338,1.159314,19.850945
5085,12.800000,6.232945,0.708690,13.315774
5087,12.100000,0.412596,1.692858,19.070445
5089,17.000000,0.532233,0.944863,28.513336
5091,12.300000,24.844008,0.841898,16.893008
5093,17.300000,35.420355,0.448604,14.791823
5095,17.200000,39.608696,0.695652,23.202899
5097,18.800000,0.459435,1.333483,27.017033
5099,14.100000,30.687005,0.408359,20.634158
5101,10.900000,0.512492,1.281230,26.508648
5103,15.100000,39.803440,0.465983,20.376176
5105,14.900000,2.028594,0.965997,20.198995
5107,18.700000,61.439902,0.360530,19.002718
5109,14.300000,3.279303,1.152441,20.387895
5111,20.900000,8.213064,0.408776,17.919413
5113,13.100000,0.518729,2.119806,22.998653
5115,11.100000,3.170313,0.950000,15.751563
5117,14.800000,11.716621,0.421105,23.780035
5119,11.900000,37.205613,0.450239,15.553377
5121,18.800000,0.991754,0.612882,19.940940
5123,18.300000,52.285860,0.786194,16.203467
5125,12.700000,7.889080,0.627569,17.759696
5127,18.200000,0.591143,2.703750,20.854734
5129,16.300000,0.376979,1.570746,24.981151
5131,12.400000,6.594757,2.407771,16.049721
5133,14.400000,3.675827,3.325748,14.545773
5135,19.500000,0.829206,1.001958,26.085454
5137,21.200000,0.369270,0.931203,27.422333
5139,13.600000,32.633032,0.544395,17.934366
5141,15.400000,0.602301,0.999819,26.049509
5143,8.900000,3.375661,1.557218,11.735686
5145,13.400000,4.455905,0.655430,16.426385
5147,26.800000,25.932203,0.570108,23.143297
5149,14.100000,1.560251,1.086603,17.780358
6000,8.600000,5.620425,1.645917,14.331265
6001,6.900000,10.290547,1.078324,13.829884
6003,6.700000,0.090827,23.887375,25.431426
6005,13.800000,2.511236,2.318259,26.998959
6007,9.800000,1.533366,2.476909,18.590653
6009,11.700000,0.824525,1.938511,27.527301
6011,21.000000,0.957137,2.774310,14.625237
6013,8.800000,8.730107,1.017723,15.774703
6015,10.200000,3.291649,9.321547,18.032198
6017,8.200000,0.889982,1.333138,21.181783
6019,10.800000,4.639079,2.970233,12.280068
6021,9.700000,0.841445,3.158983,15.876921
6023,8.900000,1.209917,6.316500,17.877439
6025,9.200000,2.480380,2.501279,12.968371
6027,9.200000,0.961806,13.487519,23.405793
6029,9.300000,5.206052,2.637149,10.966876
6031,10.400000,6.134799,3.173104,10.250651
