Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE5064,0.0038033003623191347,0.0004605592011925815
0.001,VaccinationFull,0.0030620729076802863,0.0005797669039235002
0.002,AGE5064,0.004006560411112425,0.00048517289897834367
0.002,VaccinationFull,0.002269913320549461,0.00042978095483253573
0.003,AGE5064,0.004117063057515773,0.0004985541746360358
0.003,VaccinationFull,0.002061497952802354,0.0003903199961513279
0.004,AGE5064,0.0037668705742126734,0.0004561477499498256
0.004,VaccinationFull,0.0017966039144249617,0.0003401654762792985
0.005,AGE5064,0.0034767987195415593,0.00042102160976921764
0.005,VaccinationFull,0.0015662286007117443,0.0002965466643179921
0.006,AGE5064,0.003114009952552148,0.0003770898429327953
0.006,VaccinationFull,0.0014074238932091701,0.0002664788911548139
0.007,AGE5064,0.00287217325536227,0.00034780472067942
0.007,VaccinationFull,0.0013040597626568075,0.0002469081285525327
0.008,AGE5064,0.002759059330692275,0.00033410723327981733
0.008,VaccinationFull,0.0012441601130014637,0.0002355668458744891
0.009,AGE5064,0.002611046007564182,0.0003161836165859818
0.009,VaccinationFull,0.0011662713643652482,0.0002208195423292238
