Delta,Feature,Mu_star,Morris_sensitivity
0.001,AGE4049,0.007550168380032319,0.000750177503268809
0.001,VaccinationFull,0.004033491065461695,0.0007636933206784344
0.002,AGE4049,0.0067208131643119754,0.000667773562888159
0.002,VaccinationFull,0.002933589607811016,0.0005554401268620379
0.003,AGE4049,0.006054163829436452,0.0006015359230872582
0.003,VaccinationFull,0.0027015788256938137,0.0005115116585072915
0.004,AGE4049,0.005615751634322307,0.0005579757070259681
0.004,VaccinationFull,0.0023675743462521653,0.0004482719027010971
0.005,AGE4049,0.0051804349059713884,0.0005147230535793121
0.005,VaccinationFull,0.0021201206261256393,0.0004014194986246728
0.006,AGE4049,0.004782863328705564,0.00047522072221506216
0.006,VaccinationFull,0.0019659828077694132,0.0003722353451377426
0.007,AGE4049,0.004539278276336502,0.00045101834456967214
0.007,VaccinationFull,0.001833702777673487,0.00034718970259041307
0.008,AGE4049,0.00413843225121427,0.0004111906672006894
0.008,VaccinationFull,0.0017614992688026916,0.0003335188312387095
0.009,AGE4049,0.003786835259479483,0.0003762563266482344
0.009,VaccinationFull,0.0016691515666548906,0.0003160338976747859
