,0
0,1001
1,1003
2,1005
3,1007
4,1009
5,1011
6,1013
7,1015
8,1017
9,1019
10,1021
11,1023
12,1025
13,1027
14,1029
15,1031
16,1033
17,1035
18,1037
19,1039
20,1041
21,1043
22,1045
23,1047
24,1049
25,1051
26,1053
27,1055
28,1057
29,1059
30,1061
31,1063
32,1065
33,1067
34,1069
35,1071
36,1073
37,1075
38,1077
39,1079
40,1081
41,1083
42,1085
43,1087
44,1089
45,1091
46,1093
47,1095
48,1097
49,1099
50,1101
51,1103
52,1105
53,1107
54,1109
55,1111
56,1113
57,1115
58,1117
59,1119
60,1121
61,1123
62,1125
63,1127
64,1129
65,1131
66,1133
67,2013
68,2016
69,2020
70,2050
71,2060
72,2068
73,2070
74,2090
75,2100
76,2105
77,2110
78,2122
79,2130
80,2150
81,2158
82,2164
83,2170
84,2180
85,2185
86,2188
87,2195
88,2198
89,2220
90,2230
91,2240
92,2261
93,2275
94,2282
95,2290
96,4001
97,4003
98,4005
99,4007
100,4009
101,4011
102,4012
103,4013
104,4015
105,4017
106,4019
107,4021
108,4023
109,4025
110,4027
111,5001
112,5003
113,5005
114,5007
115,5009
116,5011
117,5013
118,5015
119,5017
120,5019
121,5021
122,5023
123,5025
124,5027
125,5029
126,5031
127,5033
128,5035
129,5037
130,5039
131,5041
132,5043
133,5045
134,5047
135,5049
136,5051
137,5053
138,5055
139,5057
140,5059
141,5061
142,5063
143,5065
144,5067
145,5069
146,5071
147,5073
148,5075
149,5077
150,5079
151,5081
152,5083
153,5085
154,5087
155,5089
156,5091
157,5093
158,5095
159,5097
160,5099
161,5101
162,5103
163,5105
164,5107
165,5109
166,5111
167,5113
168,5115
169,5117
170,5119
171,5121
172,5123
173,5125
174,5127
175,5129
176,5131
177,5133
178,5135
179,5137
180,5139
181,5141
182,5143
183,5145
184,5147
185,5149
186,6001
187,6003
188,6005
189,6007
190,6009
191,6011
192,6013
193,6015
194,6017
195,6019
196,6021
197,6023
198,6025
199,6027
200,6029
201,6031
202,6033
203,6035
204,6037
205,6039
206,6041
207,6043
208,6045
209,6047
210,6049
211,6051
212,6053
213,6055
214,6057
215,6059
216,6061
217,6063
218,6065
219,6067
220,6069
221,6071
222,6073
223,6075
224,6077
225,6079
226,6081
227,6083
228,6085
229,6087
230,6089
231,6091
232,6093
233,6095
234,6097
235,6099
236,6101
237,6103
238,6105
239,6107
240,6109
241,6111
242,6113
243,6115
244,8001
245,8003
246,8005
247,8007
248,8009
249,8011
250,8013
251,8014
252,8015
253,8017
254,8019
255,8021
256,8023
257,8025
258,8027
259,8029
260,8031
261,8033
262,8035
263,8037
264,8039
265,8041
266,8043
267,8045
268,8047
269,8049
270,8051
271,8053
272,8055
273,8057
274,8059
275,8061
276,8063
277,8065
278,8067
279,8069
280,8071
281,8073
282,8075
283,8077
284,8079
285,8081
286,8083
287,8085
288,8087
289,8089
290,8091
291,8093
292,8095
293,8097
294,8099
295,8101
296,8103
297,8105
298,8107
299,8109
300,8111
