FIPS,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Adults with Obesity,Primary Care Physicians Rate,% Flu Vaccinated,% Unemployed,Average Daily PM2.5,% Severe Housing Problems
13065,11046.959749,26.891235,23.648212,51.900000,14.865470,35.000000,4.555315,9.600000,15.445545
13067,5620.893343,13.682979,12.634027,29.100000,70.525590,49.000000,3.393318,10.500000,14.584061
13069,10471.893429,21.290075,19.700806,34.700000,53.470960,36.000000,4.516543,10.800000,15.520907
13071,10885.715775,23.811261,20.969153,37.700000,45.816520,37.000000,3.763166,11.000000,19.505852
13073,6261.492907,13.406088,13.691962,32.100000,104.895800,46.000000,3.480987,11.200000,11.090411
13075,9396.894483,21.178480,19.911397,29.600000,63.668460,40.000000,3.778849,10.700000,15.301003
13077,6447.832320,15.399627,15.778012,28.800000,50.309540,44.000000,3.425617,11.300000,12.819735
13079,9510.396933,19.192404,18.076454,46.000000,8.133390,43.000000,4.155708,11.400000,15.177610
13081,10526.044465,25.674579,21.317085,38.100000,83.567910,39.000000,4.851580,11.000000,21.151586
13083,8513.489802,15.993858,15.528899,40.600000,30.703100,42.000000,3.625816,10.500000,14.285714
13085,8843.253412,13.541413,14.597638,28.100000,69.732150,47.000000,3.330565,10.000000,14.319249
13087,10800.360571,20.259666,19.141727,27.100000,44.916900,35.000000,4.666263,10.900000,19.875479
13089,6846.830446,16.292444,15.818432,26.300000,107.268080,44.000000,4.019798,10.200000,19.798453
13091,10338.417163,20.770081,19.203124,34.400000,38.591410,41.000000,5.183946,11.100000,12.022542
13093,9610.258035,23.522594,19.582001,38.200000,7.279610,35.000000,4.615086,11.200000,19.552529
13095,11722.427413,25.387888,21.607553,37.300000,77.093250,40.000000,5.124997,10.700000,22.628360
13097,7561.248878,17.940186,16.639961,31.300000,36.140730,43.000000,4.117970,11.400000,16.303776
13099,11294.925378,24.805023,21.019110,43.500000,67.987570,34.000000,4.583333,10.800000,19.627329
13101,6576.402991,22.226982,19.094552,27.800000,,42.000000,3.210526,9.500000,19.649123
13103,8392.262720,14.283843,16.279835,39.900000,25.007500,39.000000,3.304929,10.400000,11.339930
13105,10645.866587,19.942573,17.841736,40.100000,52.331360,32.000000,4.819584,10.600000,17.477004
13107,12435.986475,23.579846,21.225065,27.700000,44.385260,33.000000,5.886593,10.700000,15.927052
