FIPS,County,Vulnerability Index,Infection Rate: Transmissible Cases,Infection Rate: Disease Spread,Pop Concentration: Pop Mobility,Pop Concentration: Residential Density,Intervention: Testing,Health & Environment: Pop Demographics,Health & Environment: Air Pollution,Health & Environment: Age Distribution,Health & Environment: Co-morbidities,Health & Environment: Health Disparities,Health & Environment: Hospital Beds
8041,"Colorado, El Paso",0.524554162,0.569508978,0.245377768,0.667337541,0.5782,0.940036701,0.552937403,0.185628743,0.431653286,0.190517093,0.182679858,0.562950141
8059,"Colorado, Jefferson",0.475918491,0.528510527,0.169327401,0.712324348,0.1987,0.940036701,0.38386244,0.323353293,0.526341402,0.121148358,0.050724256,0.57310065
8069,"Colorado, Larimer",0.467381171,0.503755317,0.244194757,0.607116442,0.355,0.940036701,0.354648963,0.215568862,0.50419478,0.109922543,0.122262877,0.504055592
8101,"Colorado, Pueblo",0.531521238,0.469255271,0.205084746,0.596429359,0.7937,0.940036701,0.518863142,0.179640719,0.575509717,0.324458381,0.427076609,0.375240584
8123,"Colorado, Weld",0.489745527,0.528326703,0.10066149,0.593052839,0.5279,0.940036701,0.412827466,0.335329341,0.41592556,0.214337052,0.210552796,0.55141965
9001,"Connecticut, Fairfield",0.47848807,0.483913325,0.042674013,0.766151356,0.7061,0.269292663,0.517510262,0.419161677,0.516660551,0.10609115,0.214995164,0.468035463
9003,"Connecticut, Hartford",0.46885142,0.446319642,0.043388265,0.74031093,0.737,0.269292663,0.543309578,0.275449102,0.547245487,0.199503281,0.185251255,0.451574445
9009,"Connecticut, New Haven",0.466815314,0.382090039,0.025128717,0.749793241,0.801,0.269292663,0.535411887,0.323353293,0.549497408,0.229961894,0.207895397,0.402392362
10003,"Delaware, New Castle",0.507655283,0.563835471,0.11982797,0.73607526,0.5562,0.400483982,0.583399375,0.419161677,0.50419478,0.287417216,0.174570467,0.429371227
11001,"District Of Columbia, District of Columbia",0.502461838,0.559220611,0.081363523,0.841611285,0.9739,0.124225427,0.665408731,0.401197605,0.425441612,0.240902377,0.239233722,0.360237859
